fecha,producto,categoria,precio,cantidad,cliente
2025-08-14,Teclado Mecánico,Electrónica,47200.0,2.0,CLI-041
2026-01-26,Lámpara LED,Hogar,11800.0,3.0,CLI-036
2025-07-31,Mouse Inalámbrico,Electrónica,13800.0,1.0,CLI-029
2025-06-01,Campera Impermeable,Indumentaria,64800.0,1.0,CLI-035
2026-01-16,Mochila Urbana,Accesorios,32400.0,1.0,CLI-004
2026-06-08,Mouse Inalámbrico,Electrónica,15200.0,2.0,CLI-050
2026-02-26,Notebook Lenovo,Electrónica,933700.0,1.0,CLI-045
2026-06-19,Mochila Urbana,Accesorios,28600.0,5.0,CLI-030
2025-08-28,Cafetera Eléctrica,Hogar,49800.0,3.0,CLI-059
2025-11-18,Teclado Mecánico,Electrónica,49200.0,3.0,CLI-019
2025-07-04,Zapatillas Running,Indumentaria,65200.0,1.0,CLI-021
2026-03-16,Lámpara LED,Hogar,10800.0,2.0,CLI-014
2026-01-24,Escritorio Madera,Muebles,97100.0,1.0,CLI-031
2025-10-03,Mochila Urbana,Accesorios,29500.0,5.0,CLI-005
2025-11-06,Campera Impermeable,Indumentaria,79000.0,1.0,CLI-043
2025-12-21,Cafetera Eléctrica,Hogar,,2.0,CLI-003
2026-06-11,Mouse Inalámbrico,Electrónica,14600.0,4.0,CLI-018
2025-11-20,Mouse Inalámbrico,Electrónica,13500.0,1.0,CLI-005
2025-03-15,Botella Térmica,Accesorios,9300.0,1.0,CLI-030
2026-06-11,Notebook Lenovo,Electrónica,876800.0,5.0,CLI-027
2025-10-30,Silla Ergonómica,Muebles,118700.0,4.0,CLI-011
2026-05-24,Silla Ergonómica,Muebles,126600.0,2.0,CLI-039
2026-04-07,Cafetera Eléctrica,Hogar,52000.0,4.0,CLI-028
2025-07-14,Botella Térmica,Accesorios,8300.0,5.0,CLI-059
2026-06-28,Campera Impermeable,Indumentaria,64900.0,2.0,CLI-023
2025-05-08,Zapatillas Running,Indumentaria,63300.0,1.0,CLI-021
2025-02-21,Mochila Urbana,Accesorios,32400.0,2.0,CLI-041
2026-04-25,Zapatillas Running,Indumentaria,64600.0,1.0,CLI-044
2025-03-04,Botella Térmica,Accesorios,8700.0,1.0,CLI-038
2025-03-01,Auriculares Bluetooth,Electrónica,34500.0,1.0,CLI-059
2025-11-26,Zapatillas Running,Indumentaria,73200.0,4.0,CLI-039
2025-12-13,Mouse Inalámbrico,Electrónica,15800.0,1.0,CLI-060
2025-06-27,Teclado Mecánico,Electrónica,42600.0,3.0,CLI-052
2025-03-25,Escritorio Madera,Muebles,89800.0,3.0,CLI-060
2026-04-09,Silla Ergonómica,Muebles,113600.0,2.0,CLI-009
2026-01-30,Notebook Lenovo,Electrónica,814600.0,4.0,CLI-050
2025-03-06,Silla Ergonómica,Muebles,123700.0,1.0,CLI-046
2025-11-18,Lámpara LED,Hogar,11100.0,3.0,CLI-050
2025-04-11,Auriculares Bluetooth,Electrónica,35200.0,,CLI-050
2025-10-06,Escritorio Madera,Muebles,91600.0,1.0,CLI-009
2026-05-31,Auriculares Bluetooth,Electrónica,41400.0,1.0,CLI-047
2025-02-24,Lámpara LED,Hogar,12000.0,2.0,CLI-025
2026-04-18,Mochila Urbana,Accesorios,28500.0,2.0,CLI-043
2025-02-25,Auriculares Bluetooth,Electrónica,38000.0,1.0,CLI-016
2026-01-13,Cafetera Eléctrica,Hogar,60000.0,,CLI-038
2026-01-29,Cafetera Eléctrica,Hogar,53900.0,1.0,CLI-042
2025-10-24,Auriculares Bluetooth,Electrónica,40400.0,3.0,CLI-037
2026-01-04,Zapatillas Running,Indumentaria,73200.0,5.0,CLI-007
2025-08-12,Cafetera Eléctrica,Hogar,57200.0,3.0,CLI-011
2025-02-22,Silla Ergonómica,Muebles,122400.0,3.0,CLI-007
2026-06-18,Teclado Mecánico,Electrónica,46700.0,1.0,CLI-009
2026-03-31,Teclado Mecánico,Electrónica,41300.0,3.0,CLI-008
2026-01-24,Auriculares Bluetooth,Electrónica,36100.0,3.0,CLI-010
2026-01-15,Escritorio Madera,Muebles,89500.0,2.0,CLI-045
2025-06-18,Cafetera Eléctrica,Hogar,51000.0,4.0,CLI-007
2025-08-29,Mouse Inalámbrico,Electrónica,14900.0,,CLI-006
2025-08-08,Mouse Inalámbrico,Electrónica,14700.0,3.0,CLI-035
2026-06-28,Silla Ergonómica,Muebles,118900.0,4.0,CLI-007
2026-04-10,Silla Ergonómica,Muebles,115400.0,2.0,CLI-008
2025-12-15,Mouse Inalámbrico,Electrónica,14400.0,1.0,CLI-030
2025-04-06,Campera Impermeable,Indumentaria,73400.0,3.0,CLI-056
2025-07-16,Auriculares Bluetooth,Electrónica,38300.0,1.0,CLI-028
2025-01-26,Cafetera Eléctrica,Hogar,50700.0,4.0,CLI-059
2025-12-22,Escritorio Madera,Muebles,88700.0,1.0,CLI-053
2025-05-17,Mochila Urbana,Accesorios,33000.0,1.0,CLI-005
2026-01-20,Mouse Inalámbrico,Electrónica,16000.0,2.0,CLI-011
2025-05-11,Botella Térmica,Accesorios,9900.0,1.0,CLI-049
2025-08-28,Zapatillas Running,Indumentaria,64200.0,1.0,CLI-033
2025-07-07,Mochila Urbana,Accesorios,32400.0,1.0,CLI-015
2025-02-10,Campera Impermeable,Indumentaria,66000.0,3.0,CLI-060
2025-10-10,Zapatillas Running,Indumentaria,61300.0,2.0,CLI-006
2025-06-29,Cafetera Eléctrica,Hogar,49900.0,1.0,CLI-015
2025-03-16,Auriculares Bluetooth,Electrónica,40300.0,2.0,CLI-031
2025-07-30,Botella Térmica,Accesorios,9100.0,1.0,CLI-058
2026-01-06,Zapatillas Running,Indumentaria,64200.0,2.0,CLI-051
2025-08-07,Zapatillas Running,Indumentaria,64800.0,3.0,CLI-057
2025-08-10,Botella Térmica,Accesorios,9000.0,2.0,CLI-007
2025-06-11,Escritorio Madera,Muebles,91400.0,3.0,CLI-050
2025-09-28,Teclado Mecánico,Electrónica,41900.0,2.0,CLI-001
2025-11-29,Mochila Urbana,Accesorios,29900.0,4.0,CLI-021
2026-01-29,Cafetera Eléctrica,Hogar,53900.0,1.0,CLI-042
2025-02-15,Escritorio Madera,Muebles,95900.0,1.0,CLI-054
2026-03-29,Cafetera Eléctrica,Hogar,56900.0,5.0,CLI-051
2025-06-22,Escritorio Madera,Muebles,104100.0,2.0,CLI-019
2025-05-14,Auriculares Bluetooth,Electrónica,36400.0,3.0,CLI-060
2026-01-12,Zapatillas Running,Indumentaria,73500.0,3.0,CLI-004
2025-04-25,Notebook Lenovo,Electrónica,905900.0,2.0,CLI-037
2026-06-20,Lámpara LED,Hogar,11900.0,5.0,CLI-020
2025-04-10,Mochila Urbana,Accesorios,28300.0,3.0,CLI-023
2026-05-02,Zapatillas Running,Indumentaria,63400.0,4.0,CLI-060
2025-03-22,Lámpara LED,Hogar,12900.0,3.0,CLI-015
2026-04-29,Zapatillas Running,Indumentaria,66100.0,2.0,CLI-011
2025-03-16,Cafetera Eléctrica,Hogar,54100.0,2.0,CLI-046
2026-04-10,Mouse Inalámbrico,Electrónica,15600.0,2.0,CLI-051
2026-03-30,Auriculares Bluetooth,Electrónica,41100.0,3.0,CLI-049
2025-07-10,Cafetera Eléctrica,Hogar,56500.0,1.0,CLI-036
2025-11-29,Notebook Lenovo,Electrónica,814900.0,3.0,CLI-028
2026-05-06,Cafetera Eléctrica,Hogar,53200.0,1.0,CLI-017
2025-03-12,Lámpara LED,Hogar,12400.0,1.0,CLI-041
2025-07-23,Mouse Inalámbrico,Electrónica,15300.0,2.0,CLI-007
2026-04-03,Zapatillas Running,Indumentaria,70800.0,1.0,CLI-059
2025-12-10,Cafetera Eléctrica,Hogar,49600.0,2.0,CLI-016
2026-04-13,Teclado Mecánico,Electrónica,46000.0,1.0,CLI-021
2025-06-04,Auriculares Bluetooth,Electrónica,37100.0,1.0,CLI-046
2025-03-24,Mochila Urbana,Accesorios,32800.0,1.0,CLI-042
2025-02-25,Notebook Lenovo,Electrónica,874400.0,1.0,CLI-033
2025-03-22,Escritorio Madera,Muebles,103100.0,2.0,CLI-048
2025-06-07,Lámpara LED,Hogar,12500.0,1.0,CLI-048
2026-03-31,Escritorio Madera,Muebles,94000.0,3.0,CLI-040
2025-09-13,Mouse Inalámbrico,Electrónica,14900.0,1.0,CLI-008
2026-01-10,Lámpara LED,Hogar,11700.0,4.0,CLI-004
2025-05-01,Mochila Urbana,Accesorios,32500.0,2.0,CLI-024
2025-03-28,Mochila Urbana,Accesorios,27800.0,1.0,CLI-016
2026-02-07,Auriculares Bluetooth,Electrónica,37700.0,2.0,CLI-046
2026-03-02,Botella Térmica,Accesorios,8300.0,4.0,CLI-021
2025-10-10,Zapatillas Running,Indumentaria,67400.0,1.0,CLI-051
2025-08-18,Botella Térmica,Accesorios,9300.0,4.0,CLI-016
2026-04-08,Notebook Lenovo,Electrónica,774700.0,2.0,CLI-005
2025-07-02,Zapatillas Running,Indumentaria,68600.0,5.0,CLI-008
2025-10-03,Campera Impermeable,Indumentaria,65700.0,1.0,CLI-006
2026-06-11,Mouse Inalámbrico,Electrónica,16300.0,1.0,CLI-050
2025-04-08,Teclado Mecánico,Electrónica,49300.0,5.0,CLI-021
2025-05-08,Cafetera Eléctrica,Hogar,57100.0,4.0,CLI-018
2025-02-11,Auriculares Bluetooth,Electrónica,40600.0,3.0,CLI-010
2026-03-31,Cafetera Eléctrica,Hogar,51300.0,1.0,CLI-051
2025-06-20,Botella Térmica,Accesorios,8600.0,1.0,CLI-003
2025-06-03,Teclado Mecánico,Electrónica,43500.0,5.0,CLI-008
2025-01-18,Zapatillas Running,Indumentaria,71000.0,2.0,CLI-002
2025-09-12,Mochila Urbana,Accesorios,31000.0,1.0,CLI-042
2025-04-11,Notebook Lenovo,Electrónica,875900.0,1.0,CLI-006
2026-01-02,Auriculares Bluetooth,Electrónica,39400.0,1.0,CLI-023
2025-07-24,Campera Impermeable,Indumentaria,66800.0,2.0,CLI-042
2025-05-22,Mochila Urbana,Accesorios,30900.0,3.0,CLI-023
2025-11-02,Auriculares Bluetooth,Electrónica,41400.0,2.0,CLI-050
2026-05-16,Teclado Mecánico,Electrónica,48800.0,1.0,CLI-034
2025-11-12,Notebook Lenovo,Electrónica,802500.0,1.0,CLI-001
2025-01-24,Silla Ergonómica,Muebles,119100.0,4.0,CLI-035
2026-06-28,Cafetera Eléctrica,Hogar,60500.0,1.0,CLI-008
2025-07-18,Escritorio Madera,Muebles,98400.0,5.0,CLI-030
2025-01-26,Notebook Lenovo,Electrónica,806600.0,5.0,CLI-040
2025-03-23,Notebook Lenovo,Electrónica,808500.0,1.0,CLI-036
2026-03-16,Silla Ergonómica,Muebles,121600.0,1.0,CLI-040
2026-05-30,Mochila Urbana,Accesorios,32400.0,1.0,CLI-015
2025-01-27,Silla Ergonómica,Muebles,121800.0,4.0,CLI-026
2025-09-24,Botella Térmica,Accesorios,8900.0,2.0,CLI-045
2025-09-12,Mochila Urbana,Accesorios,31000.0,1.0,CLI-042
2026-02-06,Teclado Mecánico,Electrónica,45900.0,1.0,CLI-020
2025-11-09,Auriculares Bluetooth,Electrónica,35900.0,2.0,CLI-026
2026-06-21,Mouse Inalámbrico,Electrónica,14300.0,1.0,CLI-032
2025-11-28,Notebook Lenovo,Electrónica,768700.0,1.0,CLI-050
2025-04-04,Auriculares Bluetooth,Electrónica,41500.0,1.0,CLI-049
2026-04-30,Mouse Inalámbrico,Electrónica,14400.0,4.0,CLI-031
2025-10-26,Zapatillas Running,Indumentaria,68300.0,1.0,CLI-003
2025-11-21,Mochila Urbana,Accesorios,27400.0,5.0,CLI-044
2026-06-02,Mochila Urbana,Accesorios,30000.0,5.0,CLI-027
2025-10-13,Botella Térmica,Accesorios,9600.0,1.0,CLI-037
2025-08-29,Zapatillas Running,Indumentaria,63000.0,6.0,CLI-043
2025-10-30,Escritorio Madera,Muebles,99700.0,1.0,CLI-013
2026-01-05,Botella Térmica,Accesorios,8500.0,3.0,CLI-053
2025-03-28,Notebook Lenovo,Electrónica,791400.0,1.0,CLI-044
2026-04-19,Mochila Urbana,Accesorios,31800.0,1.0,CLI-026
2025-08-22,Auriculares Bluetooth,Electrónica,39700.0,1.0,CLI-014
2025-02-09,Silla Ergonómica,Muebles,130000.0,5.0,CLI-045
2025-11-24,Mochila Urbana,Accesorios,29100.0,1.0,CLI-036
2025-07-23,Campera Impermeable,Indumentaria,67700.0,4.0,CLI-013
2025-10-30,Cafetera Eléctrica,Hogar,54000.0,5.0,CLI-004
2025-12-29,Auriculares Bluetooth,Electrónica,41100.0,2.0,CLI-018
2026-02-25,Lámpara LED,Hogar,12800.0,1.0,CLI-009
2026-04-19,Lámpara LED,Hogar,11400.0,2.0,CLI-044
2025-05-01,Notebook Lenovo,Electrónica,822000.0,4.0,CLI-018
2026-04-02,Teclado Mecánico,Electrónica,40800.0,2.0,CLI-042
2026-05-18,Teclado Mecánico,Electrónica,41000.0,1.0,CLI-028
2025-07-14,Escritorio Madera,Muebles,99300.0,2.0,CLI-044
2026-05-03,Zapatillas Running,Indumentaria,63300.0,2.0,CLI-007
2025-07-01,Mochila Urbana,Accesorios,27400.0,1.0,CLI-048
2025-05-24,Auriculares Bluetooth,Electrónica,36300.0,1.0,CLI-016
2025-07-17,Escritorio Madera,Muebles,87800.0,1.0,CLI-013
2025-03-21,Teclado Mecánico,Electrónica,45800.0,5.0,CLI-001
2025-02-16,Botella Térmica,Accesorios,9600.0,3.0,CLI-060
2025-06-27,Campera Impermeable,Indumentaria,67000.0,1.0,CLI-050
2025-12-11,Silla Ergonómica,Muebles,123400.0,2.0,CLI-017
2026-04-17,Botella Térmica,Accesorios,9800.0,1.0,CLI-028
2025-01-30,Cafetera Eléctrica,Hogar,58900.0,1.0,CLI-032
2026-05-04,Zapatillas Running,Indumentaria,73700.0,1.0,CLI-033
2026-06-08,Mouse Inalámbrico,Electrónica,15700.0,1.0,CLI-058
2025-05-28,Cafetera Eléctrica,Hogar,59600.0,4.0,CLI-027
2025-01-16,Escritorio Madera,Muebles,100500.0,2.0,CLI-038
2025-04-29,Mouse Inalámbrico,Electrónica,16100.0,1.0,CLI-001
2025-01-21,Escritorio Madera,Muebles,90500.0,1.0,CLI-005
2025-02-18,Mouse Inalámbrico,Electrónica,14000.0,1.0,CLI-051
2026-05-15,Mouse Inalámbrico,Electrónica,16200.0,5.0,CLI-003
2026-03-03,Teclado Mecánico,Electrónica,46500.0,1.0,CLI-034
2025-04-19,Escritorio Madera,Muebles,90100.0,1.0,CLI-018
2025-05-16,Auriculares Bluetooth,Electrónica,35300.0,3.0,CLI-054
2025-01-07,Mochila Urbana,Accesorios,31300.0,1.0,CLI-049
2025-10-07,Teclado Mecánico,Electrónica,42800.0,5.0,CLI-052
2026-01-21,Botella Térmica,Accesorios,9400.0,1.0,CLI-014
2025-01-20,Cafetera Eléctrica,Hogar,53000.0,1.0,CLI-027
2025-04-10,Notebook Lenovo,Electrónica,800200.0,2.0,CLI-006
2025-07-19,Escritorio Madera,Muebles,96000.0,1.0,CLI-025
2026-05-03,Mochila Urbana,Accesorios,31300.0,5.0,CLI-051
2026-02-15,Notebook Lenovo,Electrónica,793000.0,1.0,CLI-025
2026-03-21,Teclado Mecánico,Electrónica,41000.0,3.0,CLI-014
2026-03-03,Lámpara LED,Hogar,11200.0,4.0,CLI-012
2026-06-07,Cafetera Eléctrica,Hogar,58400.0,5.0,CLI-009
2025-06-18,Botella Térmica,Accesorios,8500.0,1.0,CLI-036
2026-06-23,Auriculares Bluetooth,Electrónica,39000.0,1.0,CLI-025
2025-12-03,Silla Ergonómica,Muebles,128700.0,2.0,CLI-023
2025-09-19,Silla Ergonómica,Muebles,115900.0,1.0,CLI-032
2026-02-08,Mouse Inalámbrico,Electrónica,15300.0,1.0,CLI-028
2026-06-15,Campera Impermeable,Indumentaria,72100.0,5.0,CLI-042
2025-12-17,Teclado Mecánico,Electrónica,41500.0,4.0,CLI-030
2026-06-08,Botella Térmica,Accesorios,8600.0,1.0,CLI-060
2025-10-16,Campera Impermeable,Indumentaria,67800.0,3.0,CLI-014
2025-09-23,Lámpara LED,Hogar,11800.0,1.0,CLI-038
2026-01-23,Mouse Inalámbrico,Electrónica,15200.0,3.0,CLI-037
2025-03-30,Zapatillas Running,Indumentaria,67400.0,3.0,CLI-013
2025-11-05,Mouse Inalámbrico,Electrónica,13600.0,4.0,CLI-041
2025-06-20,Cafetera Eléctrica,Hogar,52700.0,1.0,CLI-021
2025-10-25,Cafetera Eléctrica,Hogar,57500.0,3.0,CLI-028
2025-10-06,Lámpara LED,Hogar,12500.0,5.0,CLI-052
2025-04-17,Cafetera Eléctrica,Hogar,51000.0,1.0,CLI-016
2025-11-02,Lámpara LED,Hogar,12800.0,4.0,CLI-035
2026-04-28,Zapatillas Running,Indumentaria,72100.0,2.0,CLI-049
2025-10-14,Mouse Inalámbrico,Electrónica,13600.0,2.0,CLI-058
2025-04-29,Auriculares Bluetooth,Electrónica,39800.0,1.0,CLI-003
2025-11-03,Mochila Urbana,Accesorios,27600.0,1.0,CLI-017
2026-01-11,Zapatillas Running,Indumentaria,72400.0,1.0,CLI-049
2025-04-22,Teclado Mecánico,Electrónica,41500.0,5.0,CLI-030
2026-06-22,Botella Térmica,Accesorios,9100.0,2.0,CLI-043
2026-01-06,Notebook Lenovo,Electrónica,826600.0,1.0,CLI-014
2025-09-07,Botella Térmica,Accesorios,8500.0,1.0,CLI-042
2026-01-17,Teclado Mecánico,Electrónica,45500.0,3.0,CLI-043
2025-09-27,Botella Térmica,Accesorios,9200.0,4.0,CLI-024
2026-03-28,Zapatillas Running,Indumentaria,64200.0,4.0,CLI-007
2025-12-13,Zapatillas Running,Indumentaria,68300.0,1.0,CLI-028
2025-11-24,Silla Ergonómica,Muebles,127800.0,3.0,CLI-008
2025-12-20,Teclado Mecánico,Electrónica,43100.0,2.0,CLI-046
2025-08-15,Auriculares Bluetooth,Electrónica,41500.0,5.0,CLI-010
2026-02-09,Mochila Urbana,Accesorios,27200.0,1.0,CLI-035
2026-05-15,Notebook Lenovo,Electrónica,766100.0,4.0,CLI-001
2026-04-14,Mouse Inalámbrico,Electrónica,14300.0,5.0,CLI-034
2025-04-15,Zapatillas Running,Indumentaria,63700.0,3.0,CLI-013
2025-10-13,Campera Impermeable,Indumentaria,68100.0,4.0,CLI-055
2025-09-29,Cafetera Eléctrica,Hogar,52600.0,5.0,CLI-010
2025-06-07,Cafetera Eléctrica,Hogar,59800.0,2.0,CLI-033
2026-03-15,Teclado Mecánico,Electrónica,46000.0,2.0,CLI-053
2026-05-01,Silla Ergonómica,Muebles,131200.0,2.0,CLI-047
2025-04-28,Mochila Urbana,Accesorios,32300.0,2.0,CLI-050
2026-02-12,Mouse Inalámbrico,Electrónica,14400.0,2.0,CLI-037
2025-04-08,Zapatillas Running,Indumentaria,73700.0,2.0,CLI-014
2026-05-02,Campera Impermeable,Indumentaria,77500.0,6.0,CLI-006
2026-03-29,Auriculares Bluetooth,Electrónica,41100.0,4.0,CLI-048
2026-04-13,Zapatillas Running,Indumentaria,63200.0,2.0,CLI-059
2026-01-25,Escritorio Madera,Muebles,93900.0,4.0,CLI-053
2026-03-31,Mouse Inalámbrico,Electrónica,16200.0,3.0,CLI-039
2025-06-06,Auriculares Bluetooth,Electrónica,39500.0,1.0,CLI-020
2025-05-27,Campera Impermeable,Indumentaria,74600.0,5.0,CLI-009
2025-07-17,Teclado Mecánico,Electrónica,40900.0,1.0,CLI-044
2026-01-13,Campera Impermeable,Indumentaria,78800.0,2.0,CLI-047
2025-11-23,Campera Impermeable,Indumentaria,68000.0,2.0,CLI-004
2025-06-13,Escritorio Madera,Muebles,96100.0,5.0,CLI-015
2025-09-18,Campera Impermeable,Indumentaria,67600.0,1.0,CLI-060
2025-02-04,Mouse Inalámbrico,Electrónica,16300.0,1.0,CLI-049
2026-03-30,Auriculares Bluetooth,Electrónica,34900.0,1.0,CLI-009
2026-05-03,Mochila Urbana,Accesorios,29200.0,2.0,CLI-055
2026-06-10,Notebook Lenovo,Electrónica,880100.0,2.0,CLI-053
2026-05-28,Zapatillas Running,Indumentaria,67900.0,3.0,CLI-003
2025-02-15,Campera Impermeable,Indumentaria,79000.0,4.0,CLI-049
2026-02-28,Notebook Lenovo,Electrónica,860600.0,2.0,CLI-048
2025-05-02,Teclado Mecánico,Electrónica,49300.0,4.0,CLI-024
2026-01-28,Campera Impermeable,Indumentaria,65300.0,1.0,CLI-044
2025-05-21,Mochila Urbana,Accesorios,27600.0,1.0,CLI-020
2026-04-11,Mouse Inalámbrico,Electrónica,15500.0,1.0,CLI-004
2025-08-15,Mochila Urbana,Accesorios,28400.0,2.0,CLI-018
2025-11-11,Teclado Mecánico,Electrónica,44100.0,2.0,CLI-045
2025-06-02,Cafetera Eléctrica,Hogar,55400.0,3.0,CLI-022
2025-01-03,Silla Ergonómica,Muebles,125400.0,5.0,CLI-056
2025-02-12,Cafetera Eléctrica,Hogar,59500.0,2.0,CLI-021
2025-09-11,Botella Térmica,Accesorios,8900.0,5.0,CLI-034
2026-05-17,Mouse Inalámbrico,Electrónica,14800.0,3.0,CLI-041
2026-01-02,Mouse Inalámbrico,Electrónica,15900.0,4.0,CLI-014
2025-06-01,Mouse Inalámbrico,Electrónica,13900.0,3.0,CLI-025
2025-10-08,Mouse Inalámbrico,Electrónica,15500.0,2.0,CLI-006
2025-04-21,Escritorio Madera,Muebles,101600.0,3.0,CLI-008
2026-03-29,Zapatillas Running,Indumentaria,70800.0,1.0,CLI-008
2025-03-25,Silla Ergonómica,Muebles,118600.0,4.0,CLI-032
2026-04-21,Zapatillas Running,Indumentaria,66600.0,1.0,CLI-044
2025-01-30,Lámpara LED,Hogar,11600.0,4.0,CLI-047
2026-05-23,Campera Impermeable,Indumentaria,73700.0,5.0,CLI-009
2025-04-28,Notebook Lenovo,Electrónica,909400.0,1.0,CLI-044
2025-05-20,Teclado Mecánico,Electrónica,47100.0,4.0,CLI-051
2025-09-13,Mouse Inalámbrico,Electrónica,13600.0,1.0,CLI-032
2025-04-09,Zapatillas Running,Indumentaria,63200.0,2.0,CLI-040
2026-03-17,Teclado Mecánico,Electrónica,41700.0,2.0,CLI-033
2026-03-09,Notebook Lenovo,Electrónica,770100.0,2.0,CLI-015
2025-08-15,Mochila Urbana,Accesorios,27400.0,5.0,CLI-059
2026-03-27,Lámpara LED,Hogar,11600.0,1.0,CLI-032
2026-05-18,Campera Impermeable,Indumentaria,76100.0,4.0,CLI-018
2025-12-06,Escritorio Madera,Muebles,,2.0,CLI-030
